,episode_length,ep_reward,episodes,total_step,average_return
0,20,-2.0,99,2000,0.69
1,20,1.0,199,4000,0.94
2,20,1.0,299,6000,0.85
3,20,0.0,399,8000,0.83
4,20,1.0,499,10000,1.0
5,20,1.0,599,12000,0.94
6,20,0.0,699,14000,0.91
7,20,2.0,799,16000,0.83
8,20,1.0,899,18000,0.92
9,20,1.0,999,20000,1.02
10,20,1.0,1099,22000,1.05
11,20,0.0,1199,24000,1.02
12,20,-1.0,1299,26000,1.13
13,20,1.0,1399,28000,0.92
14,20,1.0,1499,30000,1.08
15,20,1.0,1599,32000,1.14
16,20,3.0,1699,34000,1.14
17,20,1.0,1799,36000,1.14
18,20,3.0,1899,38000,1.2
19,20,1.0,1999,40000,0.99
20,20,1.0,2099,42000,1.05
21,20,0.0,2199,44000,1.22
22,20,1.0,2299,46000,1.2
23,20,0.0,2399,48000,1.13
24,20,1.0,2499,50000,1.08
25,20,2.0,2599,52000,1.16
26,20,2.0,2699,54000,1.2
27,20,2.0,2799,56000,1.17
28,20,0.0,2899,58000,1.0
29,20,1.0,2999,60000,1.12
30,20,2.0,3099,62000,0.96
31,20,3.0,3199,64000,1.3
32,20,1.0,3299,66000,1.13
33,20,2.0,3399,68000,1.21
34,20,1.0,3499,70000,1.04
35,20,1.0,3599,72000,1.22
36,20,1.0,3699,74000,1.18
37,20,2.0,3799,76000,1.2
38,20,0.0,3899,78000,1.17
39,20,2.0,3999,80000,1.12
40,20,2.0,4099,82000,0.97
41,20,1.0,4199,84000,1.24
42,20,2.0,4299,86000,1.22
43,20,0.0,4399,88000,1.13
44,20,2.0,4499,90000,1.15
45,20,2.0,4599,92000,1.11
46,20,2.0,4699,94000,1.3
47,20,3.0,4799,96000,1.32
48,20,2.0,4899,98000,1.09
49,20,3.0,4999,100000,1.26
