,episode_length,ep_reward,episodes,total_step,average_return
0,20,-2.0,99,2000,0.42
1,20,1.0,199,4000,0.34
2,20,0.0,299,6000,0.58
3,20,-1.0,399,8000,0.63
4,20,2.0,499,10000,0.59
5,20,-1.0,599,12000,0.7
6,20,1.0,699,14000,0.76
7,20,0.0,799,16000,0.82
8,20,1.0,899,18000,0.87
9,20,2.0,999,20000,0.94
10,20,2.0,1099,22000,0.82
11,20,1.0,1199,24000,0.88
12,20,0.0,1299,26000,0.91
13,20,1.0,1399,28000,0.85
14,20,1.0,1499,30000,0.8
15,20,0.0,1599,32000,0.82
16,20,2.0,1699,34000,0.94
17,20,-1.0,1799,36000,0.95
18,20,1.0,1899,38000,0.92
19,20,1.0,1999,40000,1.13
20,20,2.0,2099,42000,1.09
21,20,2.0,2199,44000,1.12
22,20,1.0,2299,46000,1.02
23,20,1.0,2399,48000,1.08
24,20,1.0,2499,50000,1.09
25,20,2.0,2599,52000,1.05
26,20,3.0,2699,54000,1.18
27,20,1.0,2799,56000,0.99
28,20,1.0,2899,58000,1.01
29,20,2.0,2999,60000,0.99
30,20,0.0,3099,62000,1.01
31,20,1.0,3199,64000,1.15
32,20,1.0,3299,66000,0.96
33,20,0.0,3399,68000,1.08
34,20,1.0,3499,70000,1.23
35,20,0.0,3599,72000,1.07
36,20,1.0,3699,74000,1.04
37,20,1.0,3799,76000,1.07
38,20,2.0,3899,78000,1.31
39,20,1.0,3999,80000,1.16
40,20,2.0,4099,82000,1.16
41,20,0.0,4199,84000,1.15
42,20,2.0,4299,86000,1.06
43,20,0.0,4399,88000,1.1
44,20,1.0,4499,90000,1.1
45,20,1.0,4599,92000,1.09
46,20,1.0,4699,94000,1.15
47,20,1.0,4799,96000,1.36
48,20,2.0,4899,98000,1.08
49,20,2.0,4999,100000,1.17
